Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Invalid data form,Chrome 137.0.0.0,,,15-06-2025 15:18:47,15-06-2025 15:21:40,"2m - 52,644s",PASSED
,,,,,,,
Test Cases/PF 1 - Load practice form,Chrome 137.0.0.0,,,15-06-2025 15:18:47,15-06-2025 15:19:14,"27,248s",PASSED
"openBrowser("""")",Chrome 137.0.0.0,,,15-06-2025 15:18:47,15-06-2025 15:18:49,"1,900s",PASSED
"navigateToUrl(""https://demoqa.com/automation-practice-form"")",Chrome 137.0.0.0,,,15-06-2025 15:18:49,15-06-2025 15:18:50,"1,029s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Practice Form/Title Name - Practice Form""), 0)",Chrome 137.0.0.0,,,15-06-2025 15:18:50,15-06-2025 15:19:14,"23,480s",PASSED
closeBrowser(),Chrome 137.0.0.0,,,15-06-2025 15:19:14,15-06-2025 15:19:14,"0,394s",PASSED
,,,,,,,
Test Cases/1. Validating Form/VLD 1 - Input blank form,Chrome 137.0.0.0,,,15-06-2025 15:19:14,15-06-2025 15:19:36,"21,739s",PASSED
"openBrowser("""")",Chrome 137.0.0.0,,,15-06-2025 15:19:14,15-06-2025 15:19:16,"1,161s",PASSED
navigateToUrl(baseUrl),Chrome 137.0.0.0,,,15-06-2025 15:19:16,15-06-2025 15:19:36,"20,049s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Practice Form/Title Name - Practice Form""), 0)",Chrome 137.0.0.0,,,15-06-2025 15:19:36,15-06-2025 15:19:36,"0,033s",PASSED
"scrollToElement(findTestObject(""Object Repository/Practice Form/button - Submit""), 0)",Chrome 137.0.0.0,,,15-06-2025 15:19:36,15-06-2025 15:19:36,"0,055s",PASSED
"click(findTestObject(""Object Repository/Practice Form/button - Submit""))",Chrome 137.0.0.0,,,15-06-2025 15:19:36,15-06-2025 15:19:36,"0,117s",PASSED
"verifyElementNotPresent(findTestObject(""Object Repository/Modal/txt - Modal title""), 0)",Chrome 137.0.0.0,,,15-06-2025 15:19:36,15-06-2025 15:19:36,"0,205s",PASSED
,,,,,,,
Test Cases/1. Validating Form/VLD 2 - Mandatory field negative validation,Chrome 137.0.0.0,,,15-06-2025 15:19:36,15-06-2025 15:19:58,"21,828s",PASSED
"openBrowser("""")",Chrome 137.0.0.0,,,15-06-2025 15:19:37,15-06-2025 15:19:38,"1,341s",PASSED
navigateToUrl(baseUrl),Chrome 137.0.0.0,,,15-06-2025 15:19:38,15-06-2025 15:19:39,"0,959s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Practice Form/Title Name - Practice Form""), 0)",Chrome 137.0.0.0,,,15-06-2025 15:19:39,15-06-2025 15:19:53,"14,316s",PASSED
"setText(findTestObject(""Object Repository/Practice Form/txtfield - First name""), firstName)",Chrome 137.0.0.0,,,15-06-2025 15:19:53,15-06-2025 15:19:53,"0,147s",PASSED
"setText(findTestObject(""Object Repository/Practice Form/txtfield - Last name""), lastName)",Chrome 137.0.0.0,,,15-06-2025 15:19:53,15-06-2025 15:19:53,"0,105s",PASSED
"setText(findTestObject(""Object Repository/Practice Form/txtfield - User Email""), email)",Chrome 137.0.0.0,,,15-06-2025 15:19:53,15-06-2025 15:19:54,"0,146s",PASSED
